5.688897542739165469e-07,4.673961997080320133e-03,5.640363142180603041e-07,6.733797179822693982e-08,4.641331779306551858e-03,9.809242998934992741e-01,5.190142604920777551e-03,3.385654298622577646e-07,9.807156824438382927e-09,8.519258805980982514e-04,3.715914073805508429e-03,8.751341621049225388e-07
1.083253961500289883e-06,2.043144154317067310e-04,3.907318980202483319e-03,1.304580207937314185e-05,9.831406289455285608e-01,5.591047005553784893e-03,3.750187546569842649e-03,1.816638057259670165e-07,1.186391941191255326e-07,2.798236985387691535e-03,5.885726998817688476e-04,5.264062402315948279e-06
2.754002059204909309e-06,1.016016598451962693e-04,8.309322901133173135e-04,1.201439334701821991e-05,4.383986204878908416e-03,7.820342373774481076e-03,5.893836501520480775e-01,3.149818233860940327e-05,5.534947950505173649e-06,9.342797316475355161e-04,3.964699801900437026e-01,2.342587195198223300e-05
8.612210113418722316e-06,4.743577586218970105e-02,6.567854860448615927e-04,2.583360266412700561e-05,3.644771814742439088e-03,1.334503858446852678e-04,4.115219191583614246e-03,5.849433466995977142e-08,2.443320519100423347e-06,9.422560640598705017e-01,1.712625614572622999e-03,8.359957519791798945e-06
8.246621105638648531e-05,3.109660201876921493e-01,8.608920196945506198e-02,2.701680533136060179e-04,7.869373322839871951e-05,2.093292483633983191e-03,2.173074748044778459e-01,1.183021473380149541e-05,2.858559450740832345e-04,2.979329320140677861e-02,3.497661355492079349e-01,3.255567646721023532e-03
3.973895283060093617e-07,3.662683219625957887e-01,5.656483788256626566e-01,3.103940385790093359e-03,1.775753823891252888e-03,2.198602701358204608e-03,1.217871243958416894e-02,2.301011580789874469e-03,4.333811704188811451e-04,2.076136854095143175e-02,2.350511194539536483e-02,1.825019234034871984e-03
1.898433487214885624e-06,2.543322500041895751e-01,3.209614629901453853e-01,7.313233211097920974e-03,2.234134846967238130e-03,1.173691413031025758e-03,1.658314155838537529e-01,1.618508425013552403e-03,7.476858967660469403e-04,2.380354194005679467e-03,2.216860784031516318e-01,2.171928659829056724e-02
8.982859466597453810e-05,5.922106207948761407e-04,1.560490188085864906e-03,3.209110089573658214e-03,1.125029018636377976e-05,3.789989592431314756e-06,5.165760996670820237e-05,9.725073904065190122e-01,7.594011644635219457e-04,3.788964022666639614e-05,1.511046853064802878e-07,2.117683030123961724e-02
5.589075468297691196e-03,1.525632484225385513e-02,9.534538595874478620e-03,5.685661410794665693e-01,7.616790601482679275e-05,6.007084457388403375e-05,2.045242278568344674e-03,1.752010369947241963e-02,4.977279597045460718e-02,1.743200110218715373e-04,2.426203282981017565e-03,3.289790160210214753e-01
1.501100946789092616e-01,6.393548779840217599e-06,7.555965409627799986e-03,1.765473254974700978e-01,5.308251623659312679e-06,7.678785290540769346e-09,5.289213989801205346e-05,2.775333399803593063e-03,2.275372345278154351e-01,5.179259842553749827e-06,2.965388317240074686e-05,4.353746117242726643e-01
2.320869216514133970e-01,1.558412955792240614e-04,3.062733094279575675e-03,2.180887371481701753e-01,3.507489346374861611e-06,1.365922075306428622e-06,1.567808104181943918e-05,2.926266161889077080e-03,3.717715141048892891e-01,7.085460997569097763e-06,1.337270578814418462e-07,1.718802158632607158e-01
6.120262992167526672e-01,6.983603568311197111e-06,1.916281341949715707e-04,2.285038339905658480e-02,4.464914284382456504e-06,3.930827724466384814e-08,7.772756748640778299e-05,3.074792058697116198e-04,3.486840245052983400e-01,3.034043246515257859e-09,9.943952604419500115e-05,1.575152758512343362e-02
